Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
3 , 6.998939554612938 , 0.5 , 0.5 , 92 , 28 , 148 , 3 , 82 , 28 , 138 , 4 , 0.381 , 8.0 , 8.0 , 0.85 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 30.0 , 30.0 , 27.5 , 27.5 , 0.907 , 0.929 , 16.04 , 2.3306147401027073 , 17.684674751929435
15 , 7.888128772635815 , 0.5 , 0.5 , 70 , 29 , 128 , 3 , 71 , 28 , 127 , 3 , 0.521 , 8.0 , 8.0 , 1.453 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.75 , 24.75 , 0.802 , 0.927 , 18.078 , 2.2943652679500235 , 22.541147132169574
14 , 8.933002481389579 , 0.5 , 0.5 , 62 , 28 , 118 , 3 , 52 , 28 , 108 , 4 , 0.6 , 8.0 , 8.0 , 1.597 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 20.0 , 20.0 , 0.685 , 0.921 , 20.473 , 2.302576877313083 , 29.88759124087591
17 , 9.957446808510639 , 0.5 , 0.5 , 50 , 28 , 106 , 3 , 47 , 28 , 103 , 3 , 0.768 , 8.0 , 8.0 , 2.578 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.75 , 18.75 , 0.63 , 0.918 , 22.821 , 2.2790975717956012 , 36.22380952380953
15 , 10.939024390243903 , 0.5 , 0.5 , 48 , 30 , 108 , 3 , 41 , 28 , 97 , 3 , 0.802 , 8.0 , 8.0 , 3.172 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.25 , 17.25 , 0.61 , 0.917 , 25.07 , 2.2808919829032215 , 41.09836065573771
10 , 11.909943714821763 , 0.5 , 0.5 , 39 , 30 , 99 , 3 , 41 , 28 , 97 , 3 , 1.034 , 8.0 , 8.0 , 3.453 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 17.25 , 17.25 , 0.595 , 0.914 , 27.296 , 2.2704914633138182 , 45.87563025210084
6 , 12.955903271692746 , 0.5 , 0.5 , 37 , 32 , 101 , 3 , 38 , 28 , 94 , 3 , 1.101 , 8.0 , 8.0 , 4.005 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 0.592 , 0.914 , 29.693 , 2.3012993397032906 , 50.1570945945946
4 , 13.69624060150376 , 0.5 , 0.5 , 35 , 34 , 103 , 3 , 38 , 28 , 94 , 3 , 1.179 , 8.0 , 8.0 , 4.234 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 16.5 , 16.5 , 0.591 , 0.914 , 31.389 , 2.277755855720735 , 53.111675126903556
7 , 14.611764705882353 , 0.5 , 0.5 , 34 , 35 , 104 , 3 , 35 , 28 , 91 , 3 , 1.222 , 8.0 , 8.0 , 4.845 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 15.75 , 15.75 , 0.587 , 0.913 , 33.488 , 2.2706650364152456 , 57.04940374787053
5 , 15.054545454545455 , 0.5 , 0.5 , 33 , 36 , 105 , 3 , 35 , 28 , 91 , 3 , 1.269 , 8.0 , 8.0 , 4.992 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 17.25 , 17.25 , 15.75 , 15.75 , 0.587 , 0.913 , 34.502 , 2.274552968177449 , 58.776831345826245
