Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
10 , 29.6875 , 0.7 , 0.7 , 32 , 38 , 30 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.88 , 20.567 , 24.531 , 20.567 , 24.531 , 0.642 , 0.794 , 68.039 , 8.073881381225412 , 105.98
9 , 30.545454545454547 , 0.5 , 0.5 , 66 , 42 , 36 , 150 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.558 , 19.713 , 22.011 , 19.713 , 22.011 , 0.675 , 0.762 , 70.005 , 7.496702347584923 , 103.711
9 , 31.0 , 0.6 , 0.6 , 64 , 32 , 28 , 128 , 124 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.707 , 26.181 , 29.101 , 26.181 , 29.101 , 0.719 , 0.685 , 71.047 , 10.405224308275008 , 98.814
7 , 32.2 , 0.5 , 0.5 , 60 , 42 , 36 , 144 , 138 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.736 , 21.654 , 24.174 , 21.654 , 24.174 , 0.684 , 0.76 , 73.797 , 8.32928668287155 , 107.89
6 , 33.0 , 0.6 , 0.6 , 40 , 44 , 36 , 128 , 120 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.914 , 25.646 , 29.508 , 25.646 , 29.508 , 0.704 , 0.799 , 75.63 , 10.136668084839624 , 107.429
10 , 34.22222222222222 , 0.6 , 0.6 , 45 , 35 , 30 , 115 , 110 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.044 , 24.999 , 28.14 , 24.999 , 28.14 , 0.679 , 0.722 , 78.432 , 9.862360880385843 , 115.511
12 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.434 , 24.564 , 28.899 , 24.564 , 28.899 , 0.685 , 0.791 , 81.851 , 9.795867908837067 , 119.491
9 , 36.416666666666664 , 0.7 , 0.7 , 24 , 38 , 30 , 100 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.25 , 27.307 , 32.539 , 27.307 , 32.539 , 0.68 , 0.787 , 83.461 , 11.075259530584212 , 122.737
5 , 37.81818181818182 , 0.7 , 0.7 , 44 , 32 , 28 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.939 , 27.756 , 30.829 , 27.756 , 30.829 , 0.719 , 0.677 , 86.673 , 11.081455050388513 , 120.547
11 , 38.333333333333336 , 0.6 , 0.6 , 36 , 46 , 38 , 128 , 120 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.324 , 29.653 , 33.772 , 29.653 , 33.772 , 0.741 , 0.797 , 87.854 , 11.832017297419196 , 118.561
9 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.058 , 23.505 , 26.442 , 23.505 , 26.442 , 0.689 , 0.717 , 91.673 , 9.244920284645131 , 133.052
7 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.058 , 23.505 , 26.442 , 23.505 , 26.442 , 0.689 , 0.717 , 91.673 , 9.244920284645131 , 133.052
9 , 41.6875 , 0.6 , 0.6 , 32 , 46 , 38 , 124 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.878 , 33.315 , 37.934 , 33.315 , 37.934 , 0.768 , 0.794 , 95.541 , 13.429226191504698 , 124.402
7 , 42.666666666666664 , 0.6 , 0.6 , 45 , 40 , 35 , 125 , 120 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.028 , 27.93 , 30.769 , 27.93 , 30.769 , 0.747 , 0.722 , 97.785 , 11.043173819648613 , 130.904
5 , 43.5 , 0.5 , 0.5 , 60 , 45 , 40 , 150 , 145 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.075 , 33.526 , 36.334 , 33.526 , 36.334 , 0.802 , 0.727 , 99.695 , 13.320831961808121 , 124.308
8 , 44.2 , 0.7 , 0.7 , 40 , 34 , 30 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.173 , 31.962 , 35.197 , 31.962 , 35.197 , 0.76 , 0.675 , 101.299 , 12.841781331111882 , 133.288
8 , 46.0 , 0.6 , 0.6 , 40 , 40 , 35 , 120 , 115 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.344 , 31.365 , 34.547 , 31.365 , 34.547 , 0.764 , 0.72 , 105.424 , 12.506601090248576 , 137.99
