Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 86.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 45.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, PSCs, PSCp1, PSCp2, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density
100 , 4.0 , 0.6 , 0.6 , 32 , 32 , 32 , 96 , 4 , 3.961 , 4.0 , 4.0 , 4.0 , 0 , 0 , 0 , 0 , 19.2 , 19.2 , 0.462 , 0.955 , 9.167 , 0.15267403782013167 , [89.52465548919115, 89.52465548919115] , 19.842
102 , 5.092592592592593 , 0.5 , 0.5 , 48 , 52 , 36 , 136 , 4 , 3.333 , 3.333 , 4.683 , 4.683 , 0 , 0 , 0 , 0 , 25.0 , 25.0 , 0.547 , 0.962 , 11.671 , 0.2255455805820803 , [71.6197243913529, 103.45071300973198] , 21.336
84 , 6.0 , 0.9 , 0.9 , 21 , 35 , 28 , 84 , 3 , 4.139 , 4.139 , 4.021 , 4.021 , 0 , 0 , 0 , 0 , 25.2 , 25.2 , 0.579 , 0.941 , 13.751 , 0.3290303638209833 , [121.26090902239643, 151.57613627799554] , 23.75
65 , 7.283333333333334 , 0.9 , 0.9 , 18 , 39 , 30 , 87 , 3 , 5.08 , 5.08 , 4.779 , 4.779 , 0 , 0 , 0 , 0 , 25.650000000000002 , 25.650000000000002 , 0.589 , 0.938 , 16.692 , 0.6846451711085071 , [141.4710605261292, 183.91237868396797] , 28.34
63 , 8.272727272727272 , 0.8 , 0.8 , 18 , 45 , 33 , 96 , 3 , 6.376 , 6.376 , 6.194 , 6.194 , 0 , 0 , 0 , 0 , 25.200000000000003 , 25.200000000000003 , 0.602 , 0.94 , 18.96 , 1.2363901361446659 , [159.15494309189535, 217.02946785258453] , 31.495
46 , 9.17083333333333 , 0.7 , 0.7 , 18 , 53 , 40 , 111 , 3 , 8.255 , 8.255 , 7.511 , 7.511 , 0 , 0 , 0 , 0 , 24.849999999999998 , 24.849999999999998 , 0.584 , 0.943 , 21.018 , 1.8507091266008653 , [181.8913635335947, 241.0060566820129] , 35.99
35 , 10.09313725490196 , 0.7 , 0.7 , 18 , 53 , 34 , 105 , 3 , 8.255 , 8.255 , 9.213 , 9.213 , 0 , 0 , 0 , 0 , 24.849999999999998 , 24.849999999999998 , 0.588 , 0.94 , 23.132 , 2.202283569126084 , [181.8913635335947, 283.53653727295637] , 39.34
23 , 11.410714285714285 , 0.7 , 0.7 , 18 , 53 , 28 , 99 , 3 , 8.255 , 8.255 , 11.875 , 11.875 , 0 , 0 , 0 , 0 , 24.849999999999998 , 24.849999999999998 , 0.596 , 0.935 , 26.151 , 2.752935088394928 , [181.8913635335947, 344.2943666885899] , 43.878
18 , 12.118226600985224 , 0.6 , 0.6 , 21 , 61 , 29 , 111 , 3 , 9.035 , 9.035 , 15.309 , 15.309 , 0 , 0 , 0 , 0 , 24.599999999999998 , 24.599999999999998 , 0.612 , 0.94 , 27.773 , 3.6011835256640845 , [181.8913635335947, 382.5990750189406] , 45.381
14 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 11.144 , 11.144 , 15.563 , 15.563 , 0 , 0 , 0 , 0 , 24.3 , 24.3 , 0.628 , 0.938 , 30.002 , 4.092547502493984 , [212.20659078919383, 405.12167332482454] , 47.774
7 , 14.285714285714283 , 0.6 , 0.6 , 18 , 62 , 28 , 108 , 3 , 11.152 , 11.152 , 19.001 , 19.001 , 0 , 0 , 0 , 0 , 24.0 , 24.0 , 0.639 , 0.934 , 32.74 , 4.8010294961074935 , [212.20659078919383, 469.88602246178624] , 51.236
4 , 15.589285714285714 , 0.5 , 0.5 , 21 , 76 , 32 , 129 , 3 , 12.89 , 12.89 , 24.264 , 24.264 , 0 , 0 , 0 , 0 , 24.25 , 24.25 , 0.669 , 0.942 , 35.728 , 6.21607217572148 , [218.26963624031362, 518.3903860707449] , 53.405
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.897 , 12.897 , 26.057 , 26.057 , 0 , 0 , 0 , 0 , 24.0 , 24.0 , 0.675 , 0.94 , 36.669 , 6.585059950856168 , [218.26963624031362, 545.6740906007841] , 54.324


Running Time (sec)
164.86371493339539
