Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 77.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , 0 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 45.0 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, PSCs, PSCp, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, Torque_Density
4 , 6.428571428571429 , 0.5 , 28 , 62 , 152 , 3 , 19.013 , 19.013 , 19.013 , 0 , 0 , 0 , 22.5 , 22.5 , 0.726 , 0.962 , 31.922 , 2.6047633155811547 , 43.96969696969697
3 , 6.521739130434782 , 0.6 , 23 , 52 , 127 , 3 , 17.411 , 17.411 , 17.411 , 0 , 0 , 0 , 22.5 , 22.5 , 0.718 , 0.955 , 32.385 , 2.2896726619521464 , 45.10445682451253
4 , 6.631578947368421 , 0.7 , 19 , 44 , 107 , 3 , 16.777 , 16.777 , 16.777 , 0 , 0 , 0 , 22.049999999999997 , 22.049999999999997 , 0.716 , 0.948 , 32.93 , 2.1758797553719336 , 45.99162011173185
1 , 6.72 , 0.5 , 25 , 59 , 143 , 3 , 22.231 , 22.231 , 22.231 , 0 , 0 , 0 , 21.0 , 21.0 , 0.746 , 0.959 , 33.369 , 3.274985066259534 , 44.73056300268097
2 , 6.818181818181818 , 0.6 , 22 , 53 , 128 , 3 , 18.489 , 18.489 , 18.489 , 0 , 0 , 0 , 22.5 , 22.5 , 0.724 , 0.954 , 33.857 , 2.51289835145606 , 46.76381215469613
2 , 6.923076923076923 , 0.5 , 26 , 64 , 154 , 3 , 20.996 , 20.996 , 20.996 , 0 , 0 , 0 , 22.5 , 22.5 , 0.737 , 0.961 , 34.377 , 3.0147783596807645 , 46.644504748982364
1 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 18.044 , 18.044 , 18.044 , 0 , 0 , 0 , 22.049999999999997 , 22.049999999999997 , 0.723 , 0.946 , 34.759 , 2.438694529611614 , 48.076071922544955
1 , 7.142857142857143 , 0.6 , 21 , 54 , 129 , 3 , 19.69 , 19.69 , 19.69 , 0 , 0 , 0 , 22.5 , 22.5 , 0.73 , 0.953 , 35.469 , 2.761861959039806 , 48.587671232876716
1 , 7.2 , 0.5 , 25 , 65 , 155 , 3 , 22.135 , 22.135 , 22.135 , 0 , 0 , 0 , 22.5 , 22.5 , 0.743 , 0.96 , 35.753 , 3.250470657214975 , 48.11978465679677


Running Time (sec)
6.564162492752075
