Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 77.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
10 , 29.6875 , 0.7 , 0.7 , 32 , 38 , 30 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6.239 , 44.562 , 53.151 , 44.562 , 53.151 , 1.044 , 0.794 , 147.417 , 18.999094378465614 , 141.204
9 , 30.545454545454547 , 0.5 , 0.5 , 66 , 42 , 36 , 150 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.375 , 42.712 , 47.69 , 42.712 , 47.69 , 1.092 , 0.762 , 151.678 , 17.648744838917672 , 138.899
8 , 32.0 , 0.5 , 0.5 , 75 , 40 , 35 , 155 , 150 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.506 , 52.706 , 58.108 , 52.706 , 58.108 , 1.183 , 0.731 , 158.9 , 21.8846034791516 , 134.32
8 , 33.0 , 0.8 , 0.8 , 24 , 36 , 28 , 96 , 88 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 7.073 , 43.163 , 52.186 , 43.163 , 52.186 , 1.048 , 0.786 , 163.866 , 18.544984991176506 , 156.361
7 , 33.0 , 0.8 , 0.8 , 24 , 36 , 28 , 96 , 88 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 7.073 , 43.163 , 52.186 , 43.163 , 52.186 , 1.048 , 0.786 , 163.866 , 18.544984991176506 , 156.361
10 , 34.22222222222222 , 0.6 , 0.6 , 45 , 35 , 30 , 115 , 110 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.428 , 54.165 , 60.97 , 54.165 , 60.97 , 1.122 , 0.722 , 169.935 , 22.704792733906114 , 151.457
12 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 7.44 , 53.222 , 62.614 , 53.222 , 62.614 , 1.141 , 0.791 , 177.344 , 22.726070792006144 , 155.429
10 , 36.75 , 0.7 , 0.7 , 40 , 35 , 30 , 110 , 105 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.76 , 44.67 , 50.269 , 44.67 , 50.269 , 1.103 , 0.72 , 182.487 , 18.65202889424364 , 165.446
5 , 37.81818181818182 , 0.7 , 0.7 , 44 , 32 , 28 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.202 , 60.137 , 66.796 , 60.137 , 66.796 , 1.194 , 0.677 , 187.791 , 25.226812562966924 , 157.279
11 , 38.333333333333336 , 0.6 , 0.6 , 36 , 46 , 38 , 128 , 120 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 7.203 , 64.247 , 73.173 , 64.247 , 73.173 , 1.258 , 0.797 , 190.349 , 27.148785791385727 , 151.311
9 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.459 , 50.927 , 57.292 , 50.927 , 57.292 , 1.143 , 0.717 , 198.625 , 21.352852298799732 , 173.775
7 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.459 , 50.927 , 57.292 , 50.927 , 57.292 , 1.143 , 0.717 , 198.625 , 21.352852298799732 , 173.775
9 , 41.53846153846154 , 0.5 , 0.5 , 65 , 45 , 40 , 155 , 150 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.106 , 67.124 , 72.753 , 67.124 , 72.753 , 1.34 , 0.728 , 206.265 , 27.859471192487028 , 153.929
7 , 42.666666666666664 , 0.6 , 0.6 , 45 , 40 , 35 , 125 , 120 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.393 , 60.515 , 66.667 , 60.515 , 66.667 , 1.258 , 0.722 , 211.867 , 25.250548571590667 , 168.416
5 , 43.5 , 0.5 , 0.5 , 60 , 45 , 40 , 150 , 145 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.496 , 72.64 , 78.724 , 72.64 , 78.724 , 1.374 , 0.727 , 216.005 , 30.19350255119627 , 157.209
8 , 44.2 , 0.7 , 0.7 , 40 , 34 , 30 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.709 , 69.251 , 76.261 , 69.251 , 76.261 , 1.287 , 0.675 , 219.481 , 29.03944564469737 , 170.537
9 , 46.0 , 0.8 , 0.8 , 32 , 32 , 28 , 96 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.828 , 62.884 , 69.795 , 62.884 , 69.795 , 1.244 , 0.67 , 228.419 , 26.440257624184976 , 183.617
