Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 4.965634224467134 , 2423 , 0.392 , 87.8 , 31.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 77.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
17 , 19.164619164619168 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 37 , 38 , 113 , 3 , 2.714 , 8.0 , 8.0 , 7.752 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.5 , 22.5 , 0.865 , 0.923 , 95.164 , 2.4311043702918123 , 110.01618497109827
20 , 20.539184952978058 , 0.5 , 0.7 , 33 , 45 , 123 , 3 , 29 , 34 , 97 , 3 , 2.714 , 8.0 , 8.0 , 7.904 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.049999999999997 , 22.049999999999997 , 0.865 , 0.917 , 101.99 , 2.3917040153292946 , 117.90751445086704
20 , 21.272727272727273 , 0.5 , 0.8 , 33 , 45 , 123 , 3 , 24 , 30 , 84 , 3 , 2.714 , 8.0 , 8.0 , 7.895 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 21.6 , 21.6 , 0.863 , 0.911 , 105.633 , 2.394937165279353 , 122.40208574739282
26 , 22.023529411764702 , 0.5 , 0.9 , 34 , 44 , 122 , 3 , 20 , 28 , 76 , 3 , 2.613 , 8.0 , 8.0 , 7.817 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 21.6 , 21.6 , 0.867 , 0.905 , 109.361 , 2.3984974960630785 , 126.13725490196079
22 , 23.636363636363637 , 0.5 , 0.8 , 33 , 45 , 123 , 3 , 24 , 36 , 96 , 3 , 2.714 , 8.0 , 8.0 , 7.802 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 24.0 , 24.0 , 0.924 , 0.914 , 117.37 , 2.40821602374643 , 127.02380952380952
23 , 24.10909090909091 , 0.5 , 0.9 , 33 , 45 , 123 , 3 , 20 , 31 , 82 , 3 , 2.714 , 8.0 , 8.0 , 7.997 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 22.95 , 22.95 , 0.916 , 0.907 , 119.717 , 2.4128252939963835 , 130.69541484716157
18 , 25.612648221343875 , 0.5 , 0.9 , 33 , 57 , 147 , 3 , 23 , 31 , 85 , 3 , 2.682 , 8.0 , 8.0 , 7.614 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 24.3 , 24.3 , 0.957 , 0.913 , 127.183 , 2.4133544678911294 , 132.89759665621736
24 , 26.18181818181818 , 0.5 , 1.0 , 33 , 57 , 147 , 3 , 20 , 28 , 76 , 3 , 2.682 , 8.0 , 8.0 , 7.527 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 24.0 , 24.0 , 0.955 , 0.908 , 130.009 , 2.7472504874979777 , 136.1350785340314
24 , 27.067669172932327 , 0.6 , 1.0 , 28 , 47 , 122 , 3 , 19 , 29 , 77 , 3 , 2.342 , 8.0 , 8.0 , 7.913 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 24.0 , 24.0 , 0.959 , 0.901 , 134.408 , 2.682993678755457 , 140.1543274244004
19 , 28.07017543859649 , 0.6 , 1.0 , 27 , 48 , 123 , 3 , 19 , 29 , 77 , 3 , 2.458 , 8.0 , 8.0 , 8.206 , 8.206 , 8.206 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 24.0 , 24.0 , 0.959 , 0.901 , 139.386 , 2.7844520264514196 , 145.3451511991658
16 , 29.19298245614035 , 0.6 , 1.0 , 27 , 51 , 129 , 3 , 19 , 29 , 77 , 3 , 2.45 , 8.0 , 8.0 , 8.535 , 8.535 , 8.535 , 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 23.4 , 24.0 , 24.0 , 0.985 , 0.902 , 144.962 , 3.279954690733537 , 147.16954314720812
10 , 30.144927536231883 , 0.6 , 0.8 , 27 , 51 , 129 , 3 , 23 , 37 , 97 , 3 , 2.45 , 8.0 , 8.0 , 10.092 , 10.092 , 10.092 , 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 23.4 , 24.0 , 24.0 , 0.996 , 0.911 , 149.689 , 2.9091726588936937 , 150.29016064257027
8 , 31.01754385964912 , 0.6 , 0.9 , 27 , 51 , 129 , 3 , 19 , 32 , 83 , 3 , 2.45 , 8.0 , 8.0 , 10.466 , 10.466 , 10.466 , 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 23.4 , 22.95 , 22.95 , 0.988 , 0.904 , 154.022 , 3.2269721051483597 , 155.89271255060729
5 , 32.111111111111114 , 0.9 , 0.9 , 18 , 33 , 84 , 3 , 18 , 33 , 84 , 3 , 1.947 , 8.0 , 8.0 , 11.031 , 11.031 , 11.031 , 0 , 0 , 0 , 0 , 0 , 0 , 22.95 , 22.95 , 22.95 , 22.95 , 0.996 , 0.886 , 159.452 , 3.029766586212242 , 160.09236947791163
2 , 33.15942028985507 , 0.6 , 0.7 , 27 , 51 , 129 , 3 , 23 , 43 , 109 , 3 , 2.45 , 8.0 , 8.0 , 13.066 , 13.066 , 13.066 , 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 23.4 , 23.099999999999998 , 23.099999999999998 , 1.008 , 0.914 , 164.658 , 3.603111272842714 , 163.35119047619045


Running Time (sec)
11673.202827453613
