Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
10 , 29.6875 , 0.7 , 0.7 , 32 , 38 , 30 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.32 , 30.85 , 36.797 , 30.85 , 36.797 , 1.019 , 0.794 , 102.058 , 12.96115853533382 , 100.155
9 , 30.545454545454547 , 0.5 , 0.5 , 66 , 42 , 36 , 150 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.336 , 29.57 , 33.016 , 29.57 , 33.016 , 1.059 , 0.762 , 105.008 , 12.052653203661938 , 99.158
9 , 31.0 , 0.6 , 0.6 , 64 , 32 , 28 , 128 , 124 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.56 , 39.271 , 43.651 , 39.271 , 43.651 , 1.121 , 0.685 , 106.57 , 16.336059437498786 , 95.067
7 , 32.2 , 0.5 , 0.5 , 60 , 42 , 36 , 144 , 138 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.604 , 32.481 , 36.261 , 32.481 , 36.261 , 1.074 , 0.76 , 110.695 , 13.302554971324 , 103.068
6 , 33.0 , 0.6 , 0.6 , 40 , 44 , 36 , 128 , 120 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.372 , 38.469 , 44.261 , 38.469 , 44.261 , 1.107 , 0.799 , 113.446 , 16.05581851916338 , 102.481
10 , 34.22222222222222 , 0.6 , 0.6 , 45 , 35 , 30 , 115 , 110 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.065 , 37.499 , 42.21 , 37.499 , 42.21 , 1.074 , 0.722 , 117.647 , 15.571134618619642 , 109.541
12 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.151 , 36.846 , 43.348 , 36.846 , 43.348 , 1.085 , 0.791 , 122.777 , 15.54227434824416 , 113.159
9 , 36.416666666666664 , 0.7 , 0.7 , 24 , 38 , 30 , 100 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6.375 , 40.96 , 48.809 , 40.96 , 48.809 , 1.085 , 0.787 , 125.191 , 17.464815350229724 , 115.383
5 , 37.81818181818182 , 0.7 , 0.7 , 44 , 32 , 28 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.909 , 41.634 , 46.243 , 41.634 , 46.243 , 1.127 , 0.677 , 130.009 , 17.34852061098815 , 115.358
11 , 38.333333333333336 , 0.6 , 0.6 , 36 , 46 , 38 , 128 , 120 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.986 , 44.479 , 50.658 , 44.479 , 50.658 , 1.167 , 0.797 , 131.78 , 18.601043961156076 , 112.922
9 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.087 , 35.257 , 39.663 , 35.257 , 39.663 , 1.088 , 0.717 , 137.51 , 14.638965236935983 , 126.388
7 , 40.0 , 0.7 , 0.7 , 35 , 35 , 30 , 105 , 100 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.087 , 35.257 , 39.663 , 35.257 , 39.663 , 1.088 , 0.717 , 137.51 , 14.638965236935983 , 126.388
9 , 41.6875 , 0.6 , 0.6 , 32 , 46 , 38 , 124 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.817 , 49.972 , 56.901 , 49.972 , 56.901 , 1.21 , 0.794 , 143.311 , 20.996240035404803 , 118.439
7 , 42.666666666666664 , 0.6 , 0.6 , 45 , 40 , 35 , 125 , 120 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.041 , 41.895 , 46.154 , 41.895 , 46.154 , 1.171 , 0.722 , 146.677 , 17.336811561845664 , 125.258
5 , 43.5 , 0.5 , 0.5 , 60 , 45 , 40 , 150 , 145 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.113 , 50.289 , 54.501 , 50.289 , 54.501 , 1.252 , 0.727 , 149.542 , 20.756526427799002 , 119.442
8 , 44.2 , 0.7 , 0.7 , 40 , 34 , 30 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.26 , 47.943 , 52.796 , 47.943 , 52.796 , 1.191 , 0.675 , 151.948 , 19.988246905479333 , 127.58
8 , 46.0 , 0.6 , 0.6 , 40 , 40 , 35 , 120 , 115 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.516 , 47.048 , 51.821 , 47.048 , 51.821 , 1.201 , 0.72 , 158.136 , 19.535296408977267 , 131.67
