Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
9 , 19.246753246753247 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 28 , 29 , 86 , 3 , 1.879 , 8.0 , 8.0 , 7.891 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 17.099999999999998 , 17.099999999999998 , 0.876 , 0.913 , 66.165 , 2.5032655538605724 , 75.53082191780823
7 , 20.484848484848484 , 0.5 , 0.5 , 33 , 45 , 123 , 3 , 36 , 42 , 120 , 3 , 1.879 , 8.0 , 8.0 , 7.959 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.5 , 19.5 , 0.914 , 0.925 , 70.422 , 2.5061791959299056 , 77.04814004376367
9 , 21.272727272727273 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 28 , 35 , 98 , 3 , 1.879 , 8.0 , 8.0 , 7.795 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 18.9 , 18.9 , 0.911 , 0.917 , 73.13 , 2.509412345879964 , 80.27442371020855
6 , 22.28571428571429 , 0.5 , 0.6 , 33 , 45 , 123 , 3 , 28 , 38 , 104 , 3 , 1.879 , 8.0 , 8.0 , 7.756 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.5 , 19.5 , 19.8 , 19.8 , 0.919 , 0.918 , 76.613 , 2.51297267666369 , 83.36561479869422
11 , 23.04761904761905 , 0.6 , 0.6 , 27 , 39 , 105 , 3 , 28 , 38 , 104 , 3 , 1.721 , 8.0 , 8.0 , 8.022 , 8.022 , 8.022 , 0 , 0 , 0 , 0 , 0 , 0 , 19.8 , 19.8 , 19.8 , 19.8 , 0.918 , 0.912 , 79.232 , 2.522691204347041 , 86.30936819172113
15 , 24.231884057971016 , 0.6 , 0.7 , 27 , 39 , 105 , 3 , 23 , 34 , 91 , 3 , 1.721 , 8.0 , 8.0 , 7.763 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.8 , 19.8 , 19.95 , 19.95 , 0.921 , 0.906 , 83.303 , 2.51193895768344 , 90.44842562432139
11 , 25.14705882352941 , 0.5 , 0.7 , 34 , 56 , 146 , 3 , 24 , 33 , 90 , 3 , 1.787 , 8.0 , 8.0 , 7.945 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 19.95 , 19.95 , 0.95 , 0.916 , 86.449 , 2.516538158752825 , 90.99894736842106
9 , 26.19047619047619 , 0.6 , 0.6 , 27 , 39 , 105 , 3 , 28 , 47 , 122 , 3 , 1.721 , 8.0 , 8.0 , 7.926 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 19.8 , 19.8 , 22.5 , 22.5 , 0.992 , 0.916 , 90.036 , 2.5061907912683328 , 90.76209677419355
13 , 27.49090909090909 , 0.5 , 0.7 , 33 , 57 , 147 , 3 , 25 , 38 , 101 , 3 , 1.857 , 8.0 , 8.0 , 7.672 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 22.049999999999997 , 22.049999999999997 , 1.019 , 0.919 , 94.507 , 2.5216049951781723 , 92.74484789008834
12 , 28.051948051948052 , 0.5 , 0.8 , 33 , 57 , 147 , 3 , 21 , 33 , 87 , 3 , 1.857 , 8.0 , 8.0 , 7.529 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 21.6 , 21.6 , 1.016 , 0.912 , 96.435 , 2.5196900053586555 , 94.91633858267717
10 , 29.090909090909086 , 0.5 , 0.9 , 33 , 57 , 147 , 3 , 18 , 30 , 78 , 3 , 1.857 , 8.0 , 8.0 , 7.399 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 21.6 , 21.6 , 1.017 , 0.906 , 100.007 , 2.505264896448396 , 98.3352999016716
9 , 30.060606060606062 , 0.5 , 0.9 , 33 , 60 , 153 , 3 , 18 , 30 , 78 , 3 , 1.852 , 8.0 , 8.0 , 7.646 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.25 , 23.25 , 21.6 , 21.6 , 1.041 , 0.907 , 103.341 , 2.5206963927942563 , 99.27089337175792
8 , 31.48148148148148 , 0.6 , 0.9 , 27 , 48 , 123 , 3 , 18 , 33 , 84 , 3 , 1.701 , 8.0 , 8.0 , 7.487 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 22.95 , 22.95 , 1.069 , 0.902 , 108.225 , 2.577232512363916 , 101.23947614593078
2 , 32.52173913043478 , 0.7 , 0.9 , 23 , 43 , 109 , 3 , 18 , 33 , 84 , 3 , 1.566 , 8.0 , 8.0 , 7.735 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.099999999999998 , 23.099999999999998 , 22.95 , 22.95 , 1.094 , 0.897 , 111.802 , 2.5221394280487104 , 102.19561243144425


Running Time (sec)
10060.258464336395
