Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 79.4 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 6.72 , 0.5 , 25 , 59 , 143 , 3 , 17.101 , 17.101 , 17.101 , 1.185 , 0.959 , 25.669 , 2.687219524145598 , 21.661603375527427 , 0.081 , 92.60070868855692
2 , 6.818181818181818 , 0.6 , 22 , 53 , 128 , 3 , 14.222 , 14.222 , 14.222 , 1.158 , 0.954 , 26.044 , 2.0938360442707964 , 22.49050086355786 , 0.081 , 89.72243110570616
3 , 6.947368421052632 , 0.7 , 19 , 47 , 113 , 3 , 12.859 , 12.859 , 12.859 , 1.187 , 0.949 , 26.537 , 1.8615870709405442 , 22.356360572872788 , 0.103 , 89.35850858899232
1 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 13.88 , 13.88 , 13.88 , 1.157 , 0.946 , 26.738 , 2.0404370419360687 , 23.109766637856524 , 0.081 , 89.37972572716775
1 , 7.142857142857143 , 0.6 , 21 , 54 , 129 , 3 , 15.147 , 15.147 , 15.147 , 1.165 , 0.953 , 27.284 , 2.287834709695525 , 23.419742489270384 , 0.081 , 90.646507485598
1 , 7.2 , 0.5 , 25 , 65 , 155 , 3 , 17.027 , 17.027 , 17.027 , 1.179 , 0.96 , 27.502 , 2.6649489228069507 , 23.326547921967766 , 0.081 , 92.52676776786873


Running Time (sec)
2.094053030014038
