Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 62.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
4 , 34.22222222222222 , 0.5 , 0.5 , 45 , 35 , 30 , 115 , 110 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.959 , 36.199 , 40.746 , 36.199 , 40.746 , 0.69 , 0.722 , 78.867 , 14.635069046988148 , 114.3
6 , 35.44444444444444 , 0.5 , 0.5 , 36 , 44 , 36 , 124 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.825 , 41.207 , 47.4 , 41.207 , 47.4 , 0.731 , 0.797 , 81.684 , 16.859273853188057 , 111.743
2 , 36.75 , 0.5 , 0.5 , 40 , 35 , 30 , 110 , 105 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.421 , 40.634 , 45.727 , 40.634 , 45.727 , 0.711 , 0.72 , 84.693 , 16.543865979573088 , 119.118
4 , 37.92307692307692 , 0.5 , 0.5 , 52 , 34 , 30 , 120 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.122 , 48.706 , 53.663 , 48.706 , 53.663 , 0.771 , 0.681 , 87.396 , 19.883826731530437 , 113.354
2 , 38.5 , 0.5 , 0.5 , 32 , 44 , 36 , 120 , 112 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.629 , 46.291 , 53.234 , 46.291 , 53.234 , 0.761 , 0.794 , 88.726 , 19.07728131628507 , 116.591
4 , 39.666666666666664 , 0.5 , 0.5 , 48 , 34 , 30 , 116 , 112 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.43 , 52.682 , 58.035 , 52.682 , 58.035 , 0.786 , 0.679 , 91.414 , 21.571413104599078 , 116.303
4 , 40.0 , 0.5 , 0.5 , 40 , 32 , 28 , 104 , 100 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.3 , 60.051 , 66.686 , 60.051 , 66.686 , 0.792 , 0.675 , 92.183 , 24.78942120105934 , 116.393
3 , 41.6875 , 0.5 , 0.5 , 32 , 46 , 38 , 124 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 5.615 , 48.24 , 54.929 , 48.24 , 54.929 , 0.79 , 0.794 , 96.071 , 19.835368859581948 , 121.609
4 , 42.666666666666664 , 0.6 , 0.6 , 36 , 32 , 28 , 100 , 96 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.414 , 46.232 , 51.328 , 46.232 , 51.328 , 0.755 , 0.672 , 98.328 , 18.922638054702134 , 130.236
2 , 43.5 , 0.5 , 0.5 , 48 , 36 , 32 , 120 , 116 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.418 , 55.134 , 60.274 , 55.134 , 60.274 , 0.817 , 0.679 , 100.249 , 22.54126499281471 , 122.704
2 , 44.2 , 0.5 , 0.5 , 40 , 34 , 30 , 108 , 104 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.283 , 62.993 , 69.37 , 62.993 , 69.37 , 0.826 , 0.675 , 101.862 , 25.94877268652323 , 123.32
4 , 46.0 , 0.6 , 0.6 , 32 , 32 , 28 , 96 , 92 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.983 , 51.884 , 57.586 , 51.884 , 57.586 , 0.78 , 0.67 , 106.01 , 21.33488234275308 , 135.91
