Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 80.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
3 , 6.818181818181818 , 0.6 , 22 , 53 , 128 , 3 , 8.581 , 8.581 , 8.581 , 0.604 , 0.954 , 15.713 , 0.41181558602177915 , 26.014900662251655 , 0.081 , 65.58086676710937
3 , 6.947368421052632 , 0.7 , 19 , 47 , 113 , 3 , 7.758 , 8.0 , 8.0 , 0.648 , 0.949 , 16.011 , 0.3503913713608626 , 24.708333333333332 , 0.103 , 66.0
1 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 8.374 , 8.374 , 8.374 , 0.6 , 0.946 , 16.132 , 0.382188444945337 , 26.88666666666667 , 0.081 , 65.37410118872455
2 , 7.142857142857143 , 0.6 , 21 , 54 , 129 , 3 , 9.138 , 9.138 , 9.138 , 0.61 , 0.953 , 16.461 , 0.5315038677519639 , 26.985245901639342 , 0.081 , 66.13839284964413
1 , 7.2 , 0.5 , 25 , 65 , 155 , 3 , 10.273 , 10.273 , 10.273 , 0.619 , 0.96 , 16.593 , 0.753918634016749 , 26.806138933764135 , 0.081 , 67.27281655328079
1 , 7.333333333333333 , 0.7 , 18 , 48 , 114 , 3 , 8.344 , 8.344 , 8.344 , 0.652 , 0.947 , 16.9 , 0.4270655500444849 , 25.920245398773 , 0.103 , 66.34446865791087


Running Time (sec)
2.1238155364990234
