Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_STAGE1_MIN, MODULE_STAGE1_MAX, MODULE_STAGE2_MIN, MODULE_STAGE2_MAX, NUM_PLANET_STAGE1_MIN, NUM_PLANET_STAGE1_MAX, NUM_PLANET_STAGE2_MIN, NUM_PLANET_STAGE2_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 3 , 7 , 18 , 28 , 4 , 45 , 1
 
iter, gearRatio, module1, module2, Ns1, Np1, Nr1, numPlanet1, Ns2, Np2, Nr2, numPlanet2, fwSun1MM, fwPlanet1MM, fwRing1MM, fwSun2MM, fwPlanet2MM, fwRing2MM, Opt_PSC_sun1,  Opt_PSC_planet1, Opt_PSC_ring1, Opt_PSC_sun2, Opt_PSC_planet2, Opt_PSC_ring2, Opt_CD_SP1, Opt_CD_PR1, Opt_CD_SP2, Opt_CD_PR2, mass, eff, peakTorque, Cost, Torque_Density
39 , 18.023715415019762 , 0.5 , 0.6 , 33 , 57 , 147 , 3 , 46 , 30 , 106 , 4 , 4.083 , 8.0 , 8.0 , 7.909 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 22.8 , 22.8 , 1.382 , 0.925 , 136.257 , 3.001853204115588 , 98.59406657018815
32 , 19.032882011605416 , 0.5 , 0.6 , 33 , 57 , 147 , 3 , 47 , 35 , 117 , 4 , 4.083 , 8.0 , 8.0 , 7.634 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 22.5 , 24.599999999999998 , 24.599999999999998 , 1.401 , 0.928 , 143.886 , 3.0127728276608554 , 102.70235546038543
30 , 20.081632653061227 , 0.5 , 0.6 , 33 , 66 , 165 , 3 , 49 , 33 , 115 , 4 , 4.057 , 8.0 , 8.0 , 8.021 , 8.021 , 8.021 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.599999999999998 , 24.599999999999998 , 1.415 , 0.929 , 151.814 , 3.0179025239850077 , 107.28904593639575
27 , 21.0 , 0.5 , 0.7 , 33 , 66 , 165 , 3 , 40 , 30 , 100 , 4 , 4.057 , 8.0 , 8.0 , 7.588 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 24.75 , 24.75 , 24.5 , 24.5 , 1.418 , 0.924 , 158.757 , 2.981054260437593 , 111.9583921015515
32 , 22.235294117647058 , 0.5 , 0.7 , 34 , 74 , 182 , 3 , 40 , 30 , 100 , 4 , 3.883 , 8.0 , 8.0 , 8.034 , 8.034 , 8.034 , 0 , 0 , 0 , 0 , 0 , 0 , 27.0 , 27.0 , 24.5 , 24.5 , 1.435 , 0.926 , 168.096 , 2.9868829574868707 , 117.14006968641115
32 , 23.064935064935067 , 0.5 , 0.7 , 33 , 75 , 183 , 3 , 42 , 32 , 106 , 4 , 4.036 , 8.0 , 8.0 , 7.757 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 27.0 , 27.0 , 25.9 , 25.9 , 1.479 , 0.928 , 174.368 , 2.993261707450582 , 117.89587559161595
36 , 24.150522648083626 , 0.5 , 0.7 , 35 , 79 , 193 , 3 , 41 , 35 , 111 , 4 , 3.73 , 8.0 , 8.0 , 7.91 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 28.5 , 28.5 , 26.599999999999998 , 26.599999999999998 , 1.49 , 0.931 , 182.575 , 2.9926211278561414 , 122.53355704697987
30 , 25.414141414141415 , 0.5 , 0.8 , 33 , 78 , 189 , 3 , 36 , 32 , 100 , 4 , 4.03 , 8.0 , 8.0 , 7.417 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 27.75 , 27.75 , 27.200000000000003 , 27.200000000000003 , 1.5 , 0.926 , 192.127 , 3.001381088081814 , 128.08466666666666
26 , 26.024691358024693 , 0.6 , 0.8 , 27 , 66 , 159 , 3 , 36 , 32 , 100 , 4 , 3.685 , 8.0 , 8.0 , 7.595 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 27.9 , 27.9 , 27.200000000000003 , 27.200000000000003 , 1.5 , 0.92 , 196.743 , 3.0893291194011434 , 131.162
20 , 27.059340659340663 , 0.5 , 1.1 , 35 , 79 , 193 , 3 , 26 , 28 , 82 , 3 , 3.73 , 8.0 , 8.0 , 7.889 , 8.0 , 8.0 , 0 , 0 , 0 , 0 , 0 , 0 , 28.5 , 28.5 , 29.700000000000003 , 29.700000000000003 , 1.542 , 0.918 , 204.565 , 3.298015152792026 , 132.6621271076524
