Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
12 , 6.631578947368421 , 0.8999999999999999 , 19 , 44 , 107 , 3 , 15.452 , 15.452 , 15.452 , 1.378 , 0.948 , 50.134 , 2.572938904721459 , 36.38171262699565 , 0.134 , 94.05151018298852
6 , 6.75 , 0.7 , 24 , 57 , 138 , 3 , 18.289 , 18.289 , 18.289 , 1.407 , 0.957 , 51.029 , 3.149642930783006 , 36.2679459843639 , 0.134 , 96.88917048799485
6 , 6.818181818181818 , 0.7 , 22 , 53 , 128 , 3 , 20.681 , 20.681 , 20.681 , 1.419 , 0.954 , 51.544 , 3.6464429854527927 , 36.32417195207893 , 0.128 , 99.28057584248093
8 , 6.9 , 0.7999999999999999 , 20 , 49 , 118 , 3 , 18.12 , 18.12 , 18.12 , 1.409 , 0.951 , 52.163 , 3.1313839223493893 , 37.021291696238464 , 0.134 , 96.72029525984513
5 , 7.090909090909091 , 0.7 , 22 , 56 , 134 , 3 , 20.625 , 20.625 , 20.625 , 1.414 , 0.955 , 53.606 , 3.6296106412663325 , 37.910891089108915 , 0.128 , 99.22478231965258
5 , 7.142857142857143 , 0.7 , 21 , 54 , 129 , 3 , 22.024 , 22.024 , 22.024 , 1.433 , 0.953 , 53.999 , 3.9314444712601024 , 37.68248429867411 , 0.128 , 100.62425833365018
7 , 7.2631578947368425 , 0.7999999999999999 , 19 , 50 , 119 , 3 , 19.42 , 19.42 , 19.42 , 1.422 , 0.949 , 54.908 , 3.407725201069025 , 38.61322081575246 , 0.134 , 98.02030189881097
5 , 7.333333333333333 , 0.7999999999999999 , 18 , 48 , 114 , 3 , 20.958 , 20.958 , 20.958 , 1.422 , 0.947 , 55.439 , 3.7193724713774436 , 38.98663853727145 , 0.128 , 99.55751769821256
5 , 7.428571428571429 , 0.7 , 21 , 57 , 135 , 3 , 21.966 , 21.966 , 21.966 , 1.429 , 0.954 , 56.159 , 3.9145403305948383 , 39.29951014695591 , 0.128 , 100.56637931668513
5 , 7.5 , 0.7 , 20 , 55 , 130 , 3 , 23.528 , 23.528 , 23.528 , 1.449 , 0.952 , 56.699 , 4.25078008950352 , 39.129744651483776 , 0.128 , 102.12847145297648
5 , 7.666666666666667 , 0.7999999999999999 , 18 , 51 , 120 , 3 , 20.89 , 20.89 , 20.89 , 1.438 , 0.948 , 57.959 , 3.7205876547154544 , 40.30528511821975 , 0.134 , 99.49041564944356
2 , 7.714285714285714 , 0.5 , 28 , 80 , 188 , 3 , 28.647 , 28.647 , 28.647 , 1.499 , 0.964 , 58.319 , 5.2998892773572415 , 38.90527018012008 , 0.128 , 107.2473595662207
4 , 7.8 , 0.7 , 20 , 58 , 136 , 3 , 23.468 , 23.468 , 23.468 , 1.445 , 0.952 , 58.967 , 4.233782116220267 , 40.8076124567474 , 0.128 , 102.0682008925119
2 , 7.909090909090909 , 0.6 , 22 , 65 , 152 , 3 , 27.881 , 27.881 , 27.881 , 1.495 , 0.956 , 59.792 , 5.158434825716048 , 39.99464882943143 , 0.128 , 106.48105580840523
4 , 8.0 , 0.7 , 18 , 54 , 126 , 3 , 27.206 , 27.206 , 27.206 , 1.491 , 0.948 , 60.479 , 5.035703339734822 , 40.562709590878605 , 0.128 , 105.80599996449236
2 , 8.181818181818182 , 0.6 , 22 , 68 , 158 , 3 , 27.827 , 27.827 , 27.827 , 1.492 , 0.957 , 61.853 , 5.144256058563002 , 41.456434316353885 , 0.128 , 106.42695647200676
2 , 8.210526315789474 , 0.7 , 19 , 59 , 137 , 3 , 25.157 , 25.157 , 25.157 , 1.464 , 0.951 , 62.07 , 4.593157286495426 , 42.39754098360656 , 0.128 , 103.757420877991
2 , 8.333333333333334 , 0.7 , 18 , 57 , 132 , 3 , 27.134 , 27.134 , 27.134 , 1.488 , 0.949 , 62.999 , 5.017089646692675 , 42.33803763440861 , 0.128 , 105.73365019080539
1 , 8.4 , 0.5 , 25 , 80 , 185 , 3 , 33.418 , 33.418 , 33.418 , 1.553 , 0.961 , 63.503 , 6.313774326204092 , 40.89053444945267 , 0.128 , 112.01766686212235
1 , 8.571428571428571 , 0.6 , 21 , 69 , 159 , 3 , 29.643 , 29.643 , 29.643 , 1.513 , 0.956 , 64.799 , 5.530289243475878 , 42.82815598149373 , 0.128 , 108.24306452096772
2 , 8.666666666666666 , 0.7 , 18 , 60 , 138 , 3 , 27.067 , 27.067 , 27.067 , 1.485 , 0.949 , 65.519 , 4.999829246286844 , 44.12053872053872 , 0.128 , 105.66747385943066


Running Time (sec)
4.379819869995117
