Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 45 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
6 , 8.615384615384615 , 0.5 , 0.5 , 91 , 49 , 28 , 189 , 168 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.015 , 11.13 , 16.383 , 11.13 , 16.383 , 1.259 , 0.913 , 65.131 , 4.936245852700844 , 51.732
11 , 10.0 , 0.5 , 0.5 , 105 , 42 , 28 , 189 , 175 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.645 , 13.566 , 18.277 , 13.566 , 18.277 , 1.309 , 0.881 , 75.599 , 5.915432681597676 , 57.753
12 , 10.0 , 0.5 , 0.5 , 105 , 42 , 28 , 189 , 175 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.645 , 13.566 , 18.277 , 13.566 , 18.277 , 1.309 , 0.881 , 75.599 , 5.915432681597676 , 57.753
17 , 11.454545454545455 , 0.6 , 0.6 , 77 , 42 , 28 , 161 , 147 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.561 , 12.789 , 17.212 , 12.789 , 17.212 , 1.297 , 0.877 , 86.595 , 5.542300847499753 , 66.766
16 , 12.0 , 0.6 , 0.6 , 70 , 42 , 28 , 154 , 140 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.859 , 14.048 , 18.9 , 14.048 , 18.9 , 1.297 , 0.876 , 90.718 , 6.133842944104394 , 69.944
16 , 13.461538461538462 , 0.5 , 0.5 , 91 , 49 , 35 , 189 , 175 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.015 , 18.213 , 22.893 , 18.213 , 22.893 , 1.372 , 0.879 , 101.767 , 7.835218834177973 , 74.174
17 , 14.0 , 0.6 , 0.6 , 72 , 42 , 30 , 156 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.23 , 19.129 , 24.455 , 19.129 , 24.455 , 1.363 , 0.861 , 105.838 , 8.35858180591179 , 77.651
22 , 15.294117647058824 , 0.5 , 0.5 , 119 , 35 , 28 , 189 , 182 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.577 , 22.6 , 26.907 , 22.6 , 26.907 , 1.482 , 0.797 , 115.621 , 9.790315872120207 , 78.017
23 , 16.333333333333332 , 0.7 , 0.7 , 54 , 42 , 30 , 138 , 126 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.295 , 18.66 , 23.831 , 18.66 , 23.831 , 1.37 , 0.856 , 123.478 , 8.1561919101596 , 90.13
22 , 17.5 , 0.6 , 0.6 , 84 , 35 , 28 , 154 , 147 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.338 , 22.101 , 26.296 , 22.101 , 26.296 , 1.429 , 0.792 , 132.298 , 9.525061070301787 , 92.581
24 , 18.181818181818183 , 0.6 , 0.6 , 77 , 35 , 28 , 147 , 140 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.588 , 24.073 , 28.636 , 24.073 , 28.636 , 1.431 , 0.791 , 137.452 , 10.391207468952413 , 96.053
23 , 20.0 , 0.7 , 0.7 , 63 , 35 , 28 , 133 , 126 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.393 , 21.536 , 25.605 , 21.536 , 25.605 , 1.421 , 0.787 , 151.197 , 9.27504004622456 , 106.402
24 , 20.0 , 0.7 , 0.7 , 63 , 35 , 28 , 133 , 126 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.393 , 21.536 , 25.605 , 21.536 , 25.605 , 1.421 , 0.787 , 151.197 , 9.27504004622456 , 106.402
21 , 22.0 , 0.8 , 0.8 , 40 , 40 , 30 , 120 , 110 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.349 , 27.159 , 33.565 , 27.159 , 33.565 , 1.472 , 0.829 , 166.317 , 11.958345851434379 , 112.987
18 , 22.0 , 0.8 , 0.8 , 40 , 40 , 30 , 120 , 110 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.349 , 27.159 , 33.565 , 27.159 , 33.565 , 1.472 , 0.829 , 166.317 , 11.958345851434379 , 112.987
20 , 24.0 , 0.6 , 0.6 , 77 , 42 , 35 , 161 , 154 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.561 , 28.137 , 32.084 , 28.137 , 32.084 , 1.554 , 0.789 , 181.437 , 12.018947123244137 , 116.755
18 , 24.0 , 0.6 , 0.6 , 77 , 42 , 35 , 161 , 154 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.561 , 28.137 , 32.084 , 28.137 , 32.084 , 1.554 , 0.789 , 181.437 , 12.018947123244137 , 116.755
20 , 25.2 , 0.6 , 0.6 , 70 , 42 , 35 , 154 , 147 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.859 , 30.907 , 35.237 , 30.907 , 35.237 , 1.568 , 0.788 , 190.508 , 13.221034522092964 , 121.497
20 , 26.666666666666668 , 0.7 , 0.7 , 54 , 36 , 30 , 126 , 120 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.324 , 35.459 , 40.764 , 35.459 , 40.764 , 1.571 , 0.759 , 201.596 , 15.29819616490818 , 128.323
14 , 28.0 , 0.5 , 0.5 , 91 , 49 , 42 , 189 , 182 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.015 , 39.462 , 43.699 , 39.462 , 43.699 , 1.718 , 0.791 , 211.676 , 16.76833655112276 , 123.211
18 , 28.5 , 0.8 , 0.8 , 48 , 36 , 30 , 120 , 114 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.92 , 30.476 , 35.026 , 30.476 , 35.026 , 1.563 , 0.757 , 215.456 , 13.150740414708157 , 137.848
16 , 29.166666666666668 , 0.6 , 0.6 , 72 , 42 , 36 , 156 , 150 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.23 , 41.447 , 46.285 , 41.447 , 46.285 , 1.702 , 0.763 , 220.496 , 17.722577354400812 , 129.551
17 , 30.333333333333332 , 0.7 , 0.7 , 54 , 39 , 33 , 132 , 126 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.308 , 37.929 , 42.919 , 37.929 , 42.919 , 1.65 , 0.759 , 229.316 , 16.301932224410695 , 138.979
13 , 31.0 , 0.5 , 0.5 , 96 , 48 , 42 , 192 , 186 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 3.323 , 50.559 , 55.262 , 50.559 , 55.262 , 1.861 , 0.766 , 234.356 , 21.493573862848404 , 125.93
